Time,Dist8_0,Dist12_0,Dist16_0,Dist20_0
3.034705,0.1790563,0.1871933,0.177791,0.1575454
3.048502,0.1790606,0.1871244,0.177719,0.1575384
3.064368,0.1790917,0.1870461,0.1776367,0.157519
3.077412,0.1791268,0.186955,0.1775402,0.1574892
3.091093,0.1791675,0.1869578,0.1775427,0.1574846
3.105629,0.1792112,0.1869785,0.1775521,0.157481
3.118764,0.1792576,0.1870245,0.1775704,0.1574783
3.13329,0.1792449,0.1870381,0.177598,0.1574784
3.146898,0.1792283,0.1870558,0.1776377,0.1574805
3.160676,0.1791528,0.18699,0.1776135,0.1574187
3.174213,0.1790568,0.1869205,0.1775853,0.157344
3.188452,0.1789386,0.1868616,0.1775644,0.1572278
3.205434,0.1787992,0.1867933,0.1775406,0.1570885
3.216642,0.1786424,0.1867168,0.1775121,0.1569315
3.229808,0.1785118,0.1866916,0.1775139,0.1568583
3.24309,0.1783771,0.1866718,0.1775185,0.156791
3.256793,0.1783115,0.1866919,0.1775548,0.1568153
3.271439,0.1782515,0.186721,0.1776098,0.1568522
3.284502,0.1781941,0.1867584,0.1776831,0.1569048
3.300305,0.1781928,0.1867621,0.1777449,0.1569641
3.312463,0.1781995,0.186772,0.1778031,0.1570152
3.326998,0.1782373,0.1867907,0.1778033,0.157026
3.342202,0.1782821,0.1868114,0.1777799,0.1570173
3.355194,0.1783062,0.1868008,0.1777246,0.1569902
3.370189,0.178337,0.1867796,0.1776578,0.1569509
3.383103,0.1783731,0.1867496,0.1775837,0.1569025
3.396821,0.1784275,0.1867727,0.1775696,0.1568979
3.41183,0.1784845,0.1867979,0.1775568,0.1568892
3.424842,0.1786702,0.1869449,0.177629,0.1568636
3.438807,0.1788762,0.187137,0.1777057,0.1567883
3.452434,0.1790891,0.1873606,0.1778274,0.1567064
3.46778,0.1793282,0.1875662,0.177959,0.1565184
3.48019,0.1795537,0.1877719,0.1780826,0.1563227
3.495104,0.1796984,0.1878871,0.1781474,0.1561872
3.50893,0.1798232,0.1879892,0.1781906,0.156058
3.52279,0.1798092,0.1879663,0.1781645,0.1559993
3.537371,0.1797786,0.1879292,0.1781305,0.1559377
3.549374,0.1797377,0.1878833,0.1780922,0.1558726
3.563825,0.1796774,0.1878571,0.1781274,0.1560114
3.577656,0.1796444,0.1878465,0.1781427,0.1560699
3.592004,0.1795896,0.1878415,0.178203,0.1562587
3.607341,0.1795365,0.1878417,0.1783133,0.1565699
3.621517,0.1794846,0.1878459,0.1784562,0.1569162
3.634668,0.1794806,0.1878695,0.1786363,0.1573007
3.647277,0.1794864,0.1878972,0.1788113,0.1576195
3.661961,0.1795159,0.1879338,0.1789471,0.1578283
3.676208,0.1795509,0.1879768,0.1790692,0.1580008
3.690056,0.1795797,0.1880244,0.1791314,0.158078
3.704321,0.1796062,0.1880772,0.1791872,0.158148
3.71696,0.1796275,0.1881324,0.1792392,0.1582124
3.731056,0.1796337,0.1881893,0.1792625,0.1582216
3.745645,0.1796349,0.1882454,0.1792895,0.1582374
3.758878,0.1796166,0.188276,0.1793005,0.158232
3.772843,0.1795931,0.188296,0.1793152,0.1582307
3.786233,0.1795658,0.1883072,0.1793336,0.1582317
3.801061,0.1795477,0.1883175,0.1793599,0.1582318
3.815122,0.1795291,0.1883239,0.1793822,0.1582414
3.831241,0.1795038,0.1883137,0.1793947,0.1582469
3.844988,0.1794779,0.1883013,0.1794036,0.1582484
3.857149,0.1794454,0.1882835,0.1794009,0.1582421
3.871044,0.179412,0.1882651,0.1793949,0.1582318
3.885536,0.1793775,0.1882465,0.1793868,0.1582188
3.899998,0.1793158,0.1881951,0.1793429,0.1581719
3.91206,0.1792473,0.1881393,0.179293,0.1581181
3.926892,0.1791202,0.1880045,0.1791712,0.1580171
3.940847,0.1788779,0.1877688,0.1789804,0.1578548
3.954047,0.1785982,0.1875006,0.178769,0.1576868
3.969345,0.1782936,0.1872133,0.1785434,0.157511
3.982099,0.1779739,0.1869159,0.1783082,0.1573283
3.996069,0.1775866,0.1865634,0.1780154,0.1570741
4.010307,0.1772064,0.1862435,0.1777294,0.1568061
4.025486,0.176821,0.1859274,0.1774388,0.1565252
4.041176,0.1764305,0.1856127,0.1771423,0.1562325
4.053141,0.176034,0.1852968,0.1768384,0.1559284
4.066211,0.1757708,0.1850551,0.176627,0.1557698
4.080722,0.1754864,0.1846994,0.1762943,0.1555476
4.095434,0.1751897,0.1843227,0.1759385,0.1553082
4.108497,0.1748803,0.1839272,0.1755618,0.1550534
4.121681,0.1745581,0.183515,0.1751665,0.1547846
4.136416,0.174082,0.1831458,0.1748539,0.1545504
4.149675,0.1735932,0.1827638,0.1745256,0.1543062
4.163676,0.1730015,0.1822909,0.1741379,0.1539787
4.177608,0.1723984,0.1818054,0.1737354,0.1536412
4.190753,0.1717862,0.1813082,0.1733187,0.1532958
4.205591,0.1716383,0.1812049,0.1732343,0.153179
4.218869,0.1714336,0.1810571,0.1731121,0.1530426
4.233434,0.1712185,0.1809081,0.1729969,0.1529182
4.249906,0.1709626,0.1807196,0.1728445,0.1527736
4.261256,0.1707823,0.1805125,0.1726766,0.152697
4.275569,0.1705595,0.1802495,0.1724564,0.1526247
4.288977,0.1703132,0.1800286,0.1722333,0.1525483
4.303426,0.1700924,0.1798366,0.1720311,0.1524696
4.317471,0.1698885,0.1796575,0.1718438,0.1523892
4.331244,0.1698138,0.1795079,0.1717097,0.152329
4.345397,0.169771,0.1794146,0.1716348,0.1522797
4.359943,0.1697207,0.1793148,0.1715593,0.1522295
4.373692,0.1696587,0.1792039,0.1714782,0.1521761
4.386326,0.1696167,0.1791552,0.1714486,0.1521191
4.400223,0.1695646,0.1790978,0.1714131,0.1520551
4.414211,0.1694872,0.1789968,0.1713482,0.1519553
4.428163,0.1694038,0.1788959,0.1712895,0.1518439
4.443069,0.1693167,0.1787987,0.1712041,0.1517245
4.459337,0.1691976,0.1786105,0.171025,0.1515524
4.470473,0.1690711,0.1783901,0.1708108,0.1513726
4.483616,0.168903,0.1780765,0.1705446,0.1511928
4.497953,0.1687237,0.1777319,0.1702546,0.1510087
4.512072,0.1685215,0.1774093,0.1700218,0.1508706
4.525616,0.1683055,0.1770834,0.1697891,0.150733
4.541359,0.1680784,0.1767568,0.1695571,0.1505944
4.553144,0.1678728,0.1763732,0.1691581,0.1502577
4.56706,0.1676618,0.1759827,0.1687369,0.1498865
4.581233,0.1675049,0.1757269,0.1684504,0.1496288
4.595279,0.1673482,0.1754755,0.1681728,0.1493763
4.610231,0.167191,0.1752273,0.167902,0.1491279
4.624034,0.1670465,0.1749699,0.1676279,0.1488967
4.638374,0.1668946,0.174705,0.1673523,0.1486697
4.65095,0.1667163,0.1744694,0.1671136,0.1484626
4.670096,0.1665295,0.1742324,0.1668768,0.1482591
4.680329,0.1663375,0.1740577,0.1666756,0.1480275
4.692514,0.1661546,0.1739051,0.1664932,0.1478079
4.706414,0.1659694,0.1737589,0.1663124,0.1475829
4.721615,0.1658342,0.1736773,0.1661835,0.1473554
4.735192,0.1657025,0.1736145,0.1660835,0.1471317
4.749389,0.1655622,0.1735744,0.166017,0.1468961
4.763523,0.1654211,0.1735563,0.1659804,0.1466756
4.777463,0.1652777,0.173553,0.1659631,0.1464659
4.790334,0.165164,0.173642,0.1660393,0.1463962
4.805205,0.1650551,0.1737491,0.1661301,0.1463442
4.81915,0.1648905,0.1736739,0.166093,0.1462553
4.832763,0.1647217,0.1735746,0.166039,0.146161
4.846951,0.1645222,0.1734731,0.1660106,0.1460993
4.861733,0.1643169,0.1733622,0.1659777,0.1460361
4.877301,0.16411,0.1732452,0.1659405,0.145969
4.888414,0.1638734,0.1730421,0.1658203,0.1458457
4.902349,0.1636348,0.1728308,0.1656932,0.1457162
4.91725,0.163501,0.1727238,0.1655874,0.1455913
4.930606,0.1633766,0.1726225,0.1654813,0.1454657
4.945281,0.1632558,0.172523,0.165373,0.1453378
4.958067,0.1630961,0.1723089,0.1651163,0.1450921
4.972433,0.162933,0.1720906,0.1648524,0.1448363
4.985652,0.1627524,0.171906,0.1646359,0.1445917
5.000192,0.1625769,0.1717127,0.1644301,0.1443402
5.014504,0.1623754,0.1712878,0.1640508,0.1440606
5.027524,0.1620964,0.1707006,0.1635324,0.1437783
5.042209,0.1617554,0.1700084,0.162916,0.1434705
5.055785,0.1610986,0.1689147,0.1618328,0.143008
5.06873,0.1603696,0.1677659,0.1606736,0.1424747
5.085656,0.1594625,0.1663031,0.159175,0.1418045
5.097554,0.1585571,0.1648906,0.1576956,0.1410948
5.112427,0.1576618,0.1635164,0.1562291,0.1403668
5.124428,0.1568323,0.1625125,0.155042,0.1394848
5.139079,0.156012,0.1615022,0.1538497,0.1386039
5.152195,0.1555238,0.1609833,0.1532167,0.1381015
5.168254,0.1550257,0.1604344,0.152576,0.1376067
5.181229,0.1544846,0.1599607,0.1521585,0.1373133
5.195165,0.1539174,0.1594409,0.1517102,0.1370457
5.208327,0.1533239,0.1588833,0.151234,0.136795
5.221678,0.1526148,0.1582001,0.1507941,0.1366605
5.237221,0.1518594,0.1574836,0.1503153,0.1365167
5.250383,0.1506593,0.1561079,0.1492033,0.1359677
5.265565,0.1493888,0.1545633,0.1479618,0.1353498
5.281135,0.1480636,0.1528384,0.1465501,0.134635
5.294491,0.146284,0.1503947,0.1440498,0.1332484
