Time,Position
13.19251,578.1452
13.19498,578.1452
13.19664,578.1452
13.19836,578.1452
13.20188,578.1452
13.20401,578.1452
13.20637,578.1452
13.20882,578.0184
13.22683,578.0184
13.23025,578.0184
13.23217,578.0184
13.23369,578.0184
13.2353,578.0184
13.23713,578.0184
13.2397,578.0184
13.24206,578.0184
13.245,578.0184
13.2471,578.0184
13.24906,578.0184
13.25251,578.0184
13.2554,578.0184
13.25765,577.9728
13.26029,577.9728
13.26279,577.9728
13.26483,577.9728
13.26672,577.9728
13.26877,577.9728
13.27083,577.9728
13.273,577.9728
13.2752,577.9728
13.27722,577.9728
13.27928,577.9728
13.28298,577.9728
13.28582,577.9728
13.28781,577.9728
13.28977,577.9728
13.29166,577.9916
13.29376,577.9916
13.29658,577.9916
13.29896,577.9916
13.30162,577.9916
13.30363,577.9916
13.30591,577.9916
13.30811,577.9916
13.31001,577.9916
13.31237,577.9916
13.31485,577.9916
13.31751,577.9916
13.32006,577.9916
13.32209,577.9916
13.32415,578.2256
13.32677,578.2256
13.32892,578.2256
13.3309,578.2256
13.33375,578.2256
13.33594,578.2256
13.33815,578.2256
13.34027,578.2256
13.3423,578.2256
13.34438,578.2256
13.34644,578.2256
13.35033,578.2256
13.35223,578.2256
13.35425,578.2256
13.35655,578.2256
13.35856,578.2758
13.36073,578.2758
13.36364,578.2758
13.36591,578.2758
13.36875,578.2758
13.37071,578.2758
13.37283,578.2758
13.37523,578.2758
13.37759,578.2758
13.38025,578.2758
13.38224,578.2758
13.38399,578.2758
13.38735,578.2758
13.38939,578.2758
13.39131,578.3063
13.39351,578.3063
13.39647,578.3063
13.39908,578.3063
13.4017,578.3063
13.40363,578.3063
13.40603,578.3063
13.40863,578.3063
13.41121,578.675
13.43079,578.675
13.4332,578.675
13.43554,578.675
13.43752,578.675
13.43955,578.675
13.44244,578.675
13.44463,578.675
13.44699,578.675
13.4495,578.675
13.45181,578.675
13.45406,578.675
13.45617,578.675
13.45842,578.5674
13.46065,578.5674
13.46284,578.5674
13.46555,578.5674
13.46847,578.5674
13.47037,578.5674
13.47331,578.5674
13.47515,578.5674
13.47697,578.5674
13.47914,578.5674
13.4826,578.5674
13.48479,578.5674
13.48716,578.5674
13.48911,578.5674
13.49142,578.5494
13.49343,578.5494
13.49567,578.5494
13.49872,578.5494
13.50198,578.5494
13.50398,578.5494
13.50616,578.5494
13.50832,578.5494
13.51084,578.5494
13.51291,578.5494
13.51522,578.5494
13.51962,578.5494
13.52167,578.5494
13.52355,578.5494
13.52539,578.5847
13.52789,578.5847
13.53015,578.5847
13.53276,578.5847
13.53535,578.5847
13.53738,578.5847
13.53971,578.5847
13.54182,578.5847
13.54397,578.5847
13.54635,578.5847
13.55052,578.5847
13.55291,578.5847
13.55487,578.5847
13.55687,578.5847
13.55904,578.2706
13.56073,578.2706
13.56339,578.2706
13.56553,578.2706
13.56779,578.2706
13.56987,578.2706
13.5719,578.2706
13.57397,578.2706
13.57638,578.2706
13.57838,578.2706
13.5811,578.2706
13.58311,578.2706
13.58613,578.2706
13.58829,578.2706
13.59053,578.0963
13.59272,578.0963
13.59568,578.0963
13.59817,578.0963
13.60075,578.0963
13.60283,578.0963
13.60494,578.0963
13.60695,578.0963
13.60923,578.0963
13.61181,578.0244
13.63186,578.0244
13.63454,578.0244
13.63639,578.0244
13.63796,578.0244
13.6397,578.0244
13.64253,578.0244
13.64455,578.0244
13.64639,578.0244
13.64832,578.0244
13.6502,578.0244
13.65198,578.0244
13.65386,578.0244
13.65565,578.0244
13.65758,578.0474
13.66061,578.0474
13.66274,578.0474
13.66445,578.0474
13.66616,578.0474
13.66954,578.0474
13.67158,578.0474
13.6743,578.0474
13.67641,578.0474
13.67861,578.0474
13.68081,578.0474
13.68283,578.0474
13.68482,578.0474
13.68674,578.0474
13.68885,578.0474
13.69171,577.9996
13.69377,577.9996
13.69605,577.9996
13.69806,577.9996
13.70002,577.9996
13.7024,577.9996
13.70523,577.9996
13.70721,577.9996
13.70937,577.9996
13.7111,577.9996
13.71294,577.9996
13.71564,577.9996
13.71873,577.9996
13.72182,577.9996
13.72496,577.8865
13.72787,577.8865
13.7305,577.8865
13.73324,577.8865
13.73657,577.8865
13.7393,577.8865
13.74157,577.8865
13.74377,577.8865
13.74612,577.8865
13.74845,577.8865
13.751,577.8865
13.75293,577.8865
13.75464,577.8865
13.75671,577.8865
13.7593,577.6834
13.76096,577.6834
13.76338,577.6834
13.76533,577.6834
13.76689,577.6834
13.76982,577.6834
13.77178,577.6834
13.77367,577.6834
13.77588,577.6834
13.77792,577.6834
13.77985,577.6834
13.78284,577.6834
13.78504,577.6834
13.7873,577.6834
13.78928,577.6834
13.79132,577.6834
13.79335,577.6119
13.79517,577.6119
13.79738,577.6119
13.79931,577.6119
13.80094,577.6119
13.80352,577.6119
13.80543,577.6119
13.80728,577.6119
13.80901,577.6119
13.81071,577.6119
13.81397,577.3657
13.83322,577.3657
13.83585,577.3657
13.83773,577.3657
13.83951,577.3657
13.84144,577.3657
13.84517,577.3657
13.84729,577.3657
13.85022,577.3657
13.85275,577.3657
13.8546,577.3657
13.85617,577.3657
13.85808,577.3657
13.86017,577.2869
13.86198,577.2869
13.86404,577.2869
13.86598,577.2869
13.86765,577.2869
13.86994,577.2869
13.87191,577.2869
13.87533,577.2869
13.87772,577.2869
13.88047,577.2869
13.88231,577.2869
13.88415,577.2869
13.88585,577.2869
13.88745,577.2869
13.88928,577.2869
13.89174,577.2869
13.89369,577.0648
13.89589,577.0648
13.89856,577.0648
13.90055,577.0648
13.9027,577.0648
13.90567,577.0648
13.90767,577.0648
13.90969,577.0648
13.91145,577.0648
13.91321,577.0648
13.91508,577.0648
13.91725,577.0648
13.91922,577.0648
13.92151,577.0648
13.92323,577.0648
13.92521,577.0648
13.92727,576.8628
13.92898,576.8628
13.93086,576.8628
13.93291,576.8628
13.93467,576.8628
13.93772,576.8628
13.93999,576.8628
13.94178,576.8628
13.94357,576.8628
13.94558,576.8628
13.94774,576.8628
13.94964,576.8628
13.95155,576.8628
13.95325,576.8628
13.95493,576.8628
13.95687,576.8628
13.95919,576.756
13.96247,576.756
13.96462,576.756
13.96622,576.756
13.96937,576.756
13.97122,576.756
13.97286,576.756
13.97452,576.756
13.97651,576.756
13.9783,576.756
13.97988,576.756
13.98162,576.756
13.9839,576.756
13.98578,576.756
13.98764,576.756
13.98938,576.756
13.99118,576.756
13.9936,576.5483
13.99575,576.5483
13.99843,576.5483
14.00091,576.5483
14.00278,576.5483
14.0048,576.5483
14.00674,576.5483
14.00837,576.5483
14.00996,576.5483
14.0118,576.5483
14.01403,576.4412
14.03265,576.4412
14.0352,576.4412
14.03684,576.4412
14.03836,576.4412
14.03982,576.4412
14.04158,576.4412
14.04349,576.4412
14.04657,576.4412
14.04888,576.4412
14.05111,576.4412
14.05299,576.4412
14.0547,576.4412
14.05656,576.4412
14.05866,576.4412
14.06111,576.352
14.06316,576.352
14.06542,576.352
14.0672,576.352
14.06863,576.352
14.07054,576.352
14.07248,576.352
14.07407,576.352
14.07663,576.352
14.07885,576.352
14.08098,576.352
14.08277,576.352
14.08459,576.352
14.08634,576.352
14.08793,576.352
14.08967,576.352
14.09154,576.352
14.09361,576.3243
14.09513,576.3243
14.09708,576.3243
14.09859,576.3243
14.09997,576.3243
14.10377,576.3243
14.10589,576.3243
14.10891,576.3243
14.11077,576.3243
14.11243,576.3243
14.11429,576.3243
14.11609,576.3243
14.11821,576.3243
14.12036,576.3243
14.12218,576.3243
14.12377,576.3243
14.12575,576.3243
14.12791,576.2098
14.12955,576.2098
14.13139,576.2098
14.13326,576.2098
14.13481,576.2098
14.13856,576.2098
14.14108,576.2098
14.14295,576.2098
14.14479,576.2098
14.14697,576.2098
14.14892,576.2098
14.15074,576.2098
14.15244,576.2098
14.15409,576.2098
14.15578,576.2098
14.15764,576.2098
14.15968,576.2098
14.16151,576.137
14.16375,576.137
14.16607,576.137
14.16795,576.137
14.17069,576.137
14.1727,576.137
14.1747,576.137
14.17672,576.137
14.17832,576.137
14.17999,576.137
14.18189,576.137
14.18416,576.137
14.18642,576.137
14.18836,576.137
14.18997,576.137
14.19156,576.137
14.19408,576.0439
14.19604,576.0439
14.19834,576.0439
14.20113,576.0439
14.20299,576.0439
14.20498,576.0439
14.20692,576.0439
14.20863,576.0439
14.2103,576.0439
14.2127,576.0439
14.21517,575.9079
14.23526,575.9079
14.23767,575.9079
14.23935,575.9079
14.2411,575.9079
14.2431,575.9079
14.24495,575.9079
14.2468,575.9079
14.24875,575.9079
14.25099,575.9079
14.25332,575.9079
14.25506,575.9079
14.25683,575.9079
14.25904,575.9079
14.26191,575.4142
14.26428,575.4142
14.26735,575.4142
14.26957,575.4142
14.27164,575.4142
14.27385,575.4142
14.27607,575.4142
14.2789,575.4142
14.28137,575.4142
14.28318,575.4142
14.28499,575.4142
14.28674,575.4142
14.28837,575.4142
14.29019,575.4142
14.29203,575.4142
14.29435,575.2949
14.29614,575.2949
14.2984,575.2949
14.29996,575.2949
14.30147,575.2949
14.30422,575.2949
14.30612,575.2949
14.30909,575.2949
14.31114,575.2949
14.31295,575.2949
14.31501,575.2949
14.31735,575.2949
14.31917,575.2949
14.32104,575.2949
14.32299,575.2949
14.3271,575.2949
14.32913,575.2369
14.33083,575.2369
14.3332,575.2369
14.33503,575.2369
14.33669,575.2369
14.33984,575.2369
14.34176,575.2369
14.34397,575.2369
14.34603,575.2369
14.34869,575.2369
14.35055,575.2369
14.35227,575.2369
14.35381,575.2369
14.35539,575.2369
14.3572,575.2369
14.35909,575.2369
14.3613,575.1326
14.36329,575.1326
14.36558,575.1326
14.36727,575.1326
14.36983,575.1326
14.37186,575.1326
14.37369,575.1326
14.3759,575.1326
14.37769,575.1326
14.37949,575.1326
14.38136,575.1326
14.38335,575.1326
14.38509,575.1326
14.38696,575.1326
14.38874,575.1326
14.39036,575.1326
14.39185,575.1326
14.39404,575.1326
14.39578,575.0106
14.39736,575.0106
14.40021,575.0106
14.40196,575.0106
14.4034,575.0106
14.40551,575.0106
14.40759,575.0106
14.40941,575.0106
14.41147,575.0106
14.41383,575.0106
14.41604,574.6888
14.43568,574.6888
14.438,574.6888
14.43964,574.6888
14.44135,574.6888
14.44316,574.6888
14.44476,574.6888
14.44654,574.6888
14.44861,574.6888
14.45079,574.6888
14.45323,574.6888
14.45546,574.6888
14.45733,574.6888
14.45952,574.6888
14.46202,574.5865
14.46588,574.5865
14.46845,574.5865
14.47043,574.5865
14.47307,574.5865
14.47533,574.5865
14.47751,574.5865
14.48124,574.5865
14.48364,574.5865
14.4858,574.5865
14.48757,574.5865
14.48954,574.5865
14.4915,574.5865
14.49417,574.6464
14.49685,574.6464
14.49908,574.6464
14.5007,574.6464
14.50243,574.6464
14.50561,574.6464
14.50863,574.6464
14.51269,574.6464
14.51629,574.6464
14.51916,574.6464
14.52214,574.6464
14.52512,574.6464
14.52797,574.6592
14.53157,574.6592
14.53505,574.6592
14.53733,574.6592
14.54155,574.6592
14.54425,574.6592
14.54658,574.6592
14.54873,574.6592
14.55061,574.6592
14.55237,574.6592
14.55396,574.6592
14.55585,574.6592
14.55783,574.6592
14.55972,574.6592
14.56177,574.567
14.56393,574.567
14.56595,574.567
14.5676,574.567
14.56954,574.567
14.57246,574.567
14.57463,574.567
14.57652,574.567
14.57828,574.567
14.58001,574.567
14.58186,574.567
14.58366,574.567
14.58616,574.567
14.58813,574.567
14.58967,574.567
14.5913,574.567
14.59315,574.567
14.59523,574.4587
14.59676,574.4587
14.59898,574.4587
14.60079,574.4587
14.60281,574.4587
14.60555,574.4587
14.60738,574.4587
14.60896,574.4587
14.61053,574.4587
14.61245,574.4587
14.61458,574.4587
14.61655,573.5471
14.63676,573.5471
14.63921,573.5471
14.64102,573.5471
